"Gross domestic product (GDP) at basic prices, by industry, provinces and territories (x 1,000,000)" c 1 2 3 4 5 6 7
"Annual"
"Table: 36-10-0402-01 (formerly CANSIM 379-0030)"
"Geography: Province or territory"

"Geography","North American Industry Classification System (NAICS) 7 8","Reference period","Chained (2012) dollars 9"
,,"2008","338.5"
,,"2009","335.6"
,,"2010","349.2"
,,"2011","358.0"
,,"2012","375.1"
,,"2013","367.8"
,,"2014","378.9"
,,"2015","357.7"
,,"2016","376.2"
,,"2017","367.9"
,,"2018","358.2"
,,"2019","371.9"
,"Educational services  [61]","1999","1,381.9"
,,"2000","1,423.2"
,,"2001","1,429.3"
,,"2002","1,474.7"
,,"2003","1,503.6"
,,"2004","1,521.6"
,,"2005","1,552.8"
,,"2006","1,493.8"
,,"2007","1,542.0"
,,"2008","1,584.7"
,,"2009","1,597.1"
,,"2010","1,610.0"
,,"2011","1,614.4"
,,"2012","1,637.7"
,,"2013","1,632.8"
,,"2014","1,627.0"
,,"2015","1,621.0"
,,"2016","1,616.4"
,,"2017","1,607.0"
,,"2018","1,622.8"
,,"2019","1,628.4"
,"Health care and social assistance  [62]","1999","1,733.5"
,,"2000","1,801.5"
,,"2001","1,851.9"
,,"2002","1,910.2"
,,"2003","1,984.0"
,,"2004","1,961.4"
,,"2005","1,981.3"
,,"2006","2,029.9"
,,"2007","1,979.7"
,,"2008","2,039.3"
,,"2009","2,114.5"
,,"2010","2,193.6"
,,"2011","2,257.2"
,,"2012","2,257.6"
,,"2013","2,206.7"
,,"2014","2,201.1"
,,"2015","2,231.9"
,,"2016","2,263.1"
,,"2017","2,263.1"
,,"2018","2,279.4"
,,"2019","2,327.7"
,"Arts, entertainment and recreation  [71]","1999","69.7"
,,"2000","75.1"
,,"2001","72.8"
,,"2002","75.7"
,,"2003","68.4"
,,"2004","74.7"
,,"2005","69.3"
,,"2006","66.1"
,,"2007","68.5"
,,"2008","67.0"
,,"2009","68.5"
,,"2010","71.8"
,,"2011","72.5"
,,"2012","73.9"
,,"2013","73.7"
,,"2014","72.5"
,,"2015","69.4"
,,"2016","73.1"
,,"2017","78.0"
,,"2018","81.3"
,,"2019","84.3"
,"Accommodation and food services  [72]","1999","345.6"
,,"2000","342.6"
,,"2001","359.9"
,,"2002","377.4"
,,"2003","396.1"
,,"2004","398.7"
,,"2005","401.2"
,,"2006","392.8"
,,"2007","398.4"
,,"2008","399.7"
,,"2009","417.7"
,,"2010","429.0"
,,"2011","452.5"
,,"2012","466.3"
,,"2013","489.3"
,,"2014","507.9"
,,"2015","512.6"
,,"2016","514.7"
,,"2017","515.0"
,,"2018","516.4"
,,"2019","536.6"
,"Other services (except public administration)  [81]","1999","376.8"
,,"2000","370.9"
,,"2001","368.0"
,,"2002","399.1"
,,"2003","406.4"
,,"2004","421.6"
,,"2005","419.7"
,,"2006","418.1"
,,"2007","422.0"
,,"2008","444.5"
,,"2009","448.7"
,,"2010","473.8"
,,"2011","479.0"
,,"2012","496.9"
,,"2013","517.8"
,,"2014","521.4"
,,"2015","528.2"
,,"2016","523.2"
,,"2017","527.3"
,,"2018","524.5"
,,"2019","526.1"
,"Public administration  [91]","1999","1,760.6"
,,"2000","1,767.8"
,,"2001","1,800.7"
,,"2002","1,847.1"
,,"2003","1,856.9"
,,"2004","1,852.5"
,,"2005","1,903.3"
,,"2006","1,956.2"
,,"2007","1,889.8"
,,"2008","1,964.4"
,,"2009","2,042.1"
,,"2010","2,067.7"
,,"2011","2,111.7"
,,"2012","2,108.9"
,,"2013","2,090.5"
,,"2014","2,072.8"
,,"2015","2,103.3"
,,"2016","2,098.9"
,,"2017","2,146.9"
,,"2018","2,188.7"
,,"2019","2,203.1"
"Prince Edward Island","Goods-producing industries  [T002] 10","1999","1,004.0"
,,"2000","1,044.5"
,,"2001","1,029.5"
,,"2002","1,114.6"
,,"2003","1,081.4"
,,"2004","1,129.8"
,,"2005","1,130.6"
,,"2006","1,133.4"
,,"2007","1,117.5"
,,"2008","1,095.5"
,,"2009","1,085.2"
,,"2010","1,078.8"
,,"2011","1,106.4"
,,"2012","1,111.2"
,,"2013","1,159.5"
,,"2014","1,153.8"
,,"2015","1,203.5"
,,"2016","1,262.5"
,,"2017","1,407.4"
,,"2018","1,441.9"
,,"2019","1,573.9"
,"Service-producing industries  [T003] 11","1999","3,063.6"
,,"2000","3,141.8"
,,"2001","3,105.1"
,,"2002","3,217.4"
,,"2003","3,328.4"
,,"2004","3,409.2"
,,"2005","3,555.2"
,,"2006","3,667.4"
,,"2007","3,661.2"
,,"2008","3,739.1"
,,"2009","3,759.0"
,,"2010","3,869.4"
,,"2011","3,936.8"
,,"2012","3,979.4"
,,"2013","4,026.1"
,,"2014","4,050.2"
,,"2015","4,075.1"
,,"2016","4,126.9"
,,"2017","4,216.1"
,,"2018","4,328.7"
,,"2019","4,484.7"
,"Industrial production  [T010] 12","1999","454.5"
,,"2000","496.4"
,,"2001","507.8"
,,"2002","489.0"
,,"2003","490.8"
,,"2004","491.1"
,,"2005","484.9"
,,"2006","486.9"
,,"2007","473.2"
,,"2008","481.8"
,,"2009","462.1"
,,"2010","450.8"
,,"2011","461.0"
,,"2012","477.3"
,,"2013","507.5"
,,"2014","557.1"
,,"2015","606.6"
,,"2016","633.1"
,,"2017","692.5"
,,"2018","727.6"
,,"2019","766.2"
,"Non-durable manufacturing industries  [T011] 13","1999","252.0"
,,"2000","279.3"
,,"2001","296.0"
,,"2002","278.2"
,,"2003","268.6"
,,"2004","258.9"
,,"2005","228.1"
,,"2006","243.6"
,,"2007","249.9"
,,"2008","253.4"
,,"2009","244.4"
,,"2010","240.0"
,,"2011","248.2"
,,"2012","258.7"
,,"2013","285.9"
,,"2014","334.0"
,,"2015","343.9"
,,"2016","361.6"
,,"2017","379.1"
,,"2018","397.2"
,,"2019","425.5"
,"Durable manufacturing industries  [T012] 14","1999","146.0"
,,"2000","173.9"
,,"2001","151.6"
,,"2002","162.1"
,,"2003","173.5"
,,"2004","182.7"
,,"2005","197.1"
,,"2006","173.3"
,,"2007","158.2"
,,"2008","155.6"
,,"2009","146.2"
,,"2010","132.3"
,,"2011","128.2"
,,"2012","134.6"
,,"2013","135.3"
,,"2014","129.7"
,,"2015","166.7"
,,"2016","170.0"
,,"2017","200.6"
,,"2018","213.8"
,,"2019","220.3"
,"Information and communication technology sector  [T013] 15","1999","115.6"
,,"2000","124.3"
,,"2001","133.1"
,,"2002","143.5"
,,"2003","150.2"
,,"2004","150.8"
,,"2005","168.2"
,,"2006","171.8"
,,"2007","171.5"
,,"2008","169.0"
,,"2009","159.4"
,,"2010","164.8"
,,"2011","170.1"
,,"2012","173.3"
,,"2013","172.4"
,,"2014","178.8"
,,"2015","188.7"
,,"2016","197.8"
,,"2017","204.6"
,,"2018","213.9"
,,"2019","224.4"
,"Energy sector  [T016] 16","1999","37.3"
,,"2000","35.3"
,,"2001","41.6"
,,"2002","35.9"
,,"2003","37.1"
,,"2004","40.6"
,,"2005","50.3"
,,"2006","51.5"
,,"2007","45.7"
,,"2008","49.3"
,,"2009","54.2"
,,"2010","60.2"
,,"2011","64.0"
,,"2012","62.8"
,,"2013","59.3"
,,"2014","64.6"
,,"2015","67.4"
,,"2016","70.0"
,,"2017","70.8"
,,"2018","74.6"
,,"2019","76.4"
,"Public sector  [T018] 17","1999","1,264.5"
,,"2000","1,300.6"
,,"2001","1,291.2"
,,"2002","1,317.4"
,,"2003","1,370.6"
,,"2004","1,403.9"
,,"2005","1,464.4"
,,"2006","1,491.6"
,,"2007","1,486.3"
,,"2008","1,529.8"
,,"2009","1,568.7"
,,"2010","1,618.5"
,,"2011","1,652.7"
,,"2012","1,609.2"
,,"2013","1,601.6"
,,"2014","1,588.5"
,,"2015","1,597.4"
,,"2016","1,614.3"
,,"2017","1,644.5"
,,"2018","1,689.3"
,,"2019","1,743.0"
,"Cannabis sector  [T021] 18","1999","5.4"
,,"2000","5.5"
,,"2001","6.1"
,,"2002","6.4"
,,"2003","6.8"
,,"2004","6.7"
,,"2005","7.2"
,,"2006","7.3"
,,"2007","6.9"
,,"2008","6.7"
,,"2009","6.9"
,,"2010","7.1"
,,"2011","7.5"
,,"2012","8.8"
,,"2013","9.7"
,,"2014","11.2"
,,"2015","13.9"
,,"2016","17.0"
,,"2017","20.2"
,,"2018","24.9"
,,"2019","39.0"
,"Agriculture, forestry, fishing and hunting  [11]","1999","290.2"
,,"2000","272.8"
,,"2001","239.8"
,,"2002","326.4"
,,"2003","298.0"
,,"2004","335.0"
,,"2005","343.2"
,,"2006","327.1"
,,"2007","320.3"
,,"2008","299.4"
,,"2009","306.0"
,,"2010","322.8"
,,"2011","308.0"
,,"2012","330.0"
,,"2013","336.3"
,,"2014","335.0"
,,"2015","339.8"
,,"2016","342.4"
,,"2017","365.8"
,,"2018","367.5"
,,"2019","406.4"
,"Mining, quarrying, and oil and gas extraction  [21]","1999","32.8"
,,"2000","16.6"
,,"2001","11.1"
,,"2002","12.2"
,,"2003","7.9"
,,"2004","1.0"
,,"2005","1.2"
,,"2006","2.1"
,,"2007","2.8"
,,"2008","5.4"
,,"2009","3.0"
,,"2010","2.4"
,,"2011","2.5"
,,"2012","3.0"
,,"2013","2.9"
,,"2014","2.6"
,,"2015","1.8"
,,"2016","4.0"
,,"2017","4.3"
,,"2018","3.0"
,,"2019","3.2"
,"Utilities  [22]","1999","40.4"
,,"2000","38.8"
,,"2001","45.5"
,,"2002","40.0"
,,"2003","41.1"
,,"2004","45.2"
,,"2005","55.5"
,,"2006","56.7"
,,"2007","50.4"
,,"2008","53.9"
,,"2009","59.2"
,,"2010","65.7"
,,"2011","69.8"
,,"2012","69.3"
,,"2013","70.2"
,,"2014","74.6"
,,"2015","78.1"
,,"2016","80.5"
,,"2017","92.0"
,,"2018","96.3"
,,"2019","98.5"
,"Construction  [23]","1999","253.2"
,,"2000","271.1"
,,"2001","287.9"
,,"2002","286.8"
,,"2003","291.8"
,,"2004","305.0"
,,"2005","305.9"
,,"2006","331.9"
,,"2007","338.5"
,,"2008","326.4"
,,"2009","327.1"
,,"2010","320.8"
,,"2011","352.7"
,,"2012","315.6"
,,"2013","326.9"
,,"2014","267.7"
,,"2015","261.5"
,,"2016","291.4"
,,"2017","355.0"
,,"2018","352.8"
,,"2019","408.4"
,"Manufacturing  [31-33]","1999","402.2"
,,"2000","453.9"
,,"2001","458.9"
,,"2002","445.1"
,,"2003","441.9"
,,"2004","437.3"
,,"2005","413.7"
,,"2006","411.0"
,,"2007","405.3"
,,"2008","406.7"
,,"2009","388.7"
,,"2010","371.5"
,,"2011","376.5"
,,"2012","393.3"
,,"2013","423.1"
,,"2014","468.1"
,,"2015","517.5"
,,"2016","538.9"
,,"2017","587.0"
,,"2018","618.8"
,,"2019","653.9"
,"Wholesale trade  [41]","1999","91.3"
,,"2000","93.0"
,,"2001","87.3"
,,"2002","85.6"
,,"2003","83.6"
,,"2004","82.2"
,,"2005","84.8"
,,"2006","90.9"
,,"2007","92.4"
,,"2008","93.6"
,,"2009","86.4"
,,"2010","87.7"
,,"2011","97.4"
,,"2012","103.0"
,,"2013","118.7"
,,"2014","119.7"
,,"2015","110.3"
,,"2016","109.7"
,,"2017","107.8"
,,"2018","114.7"
,,"2019","123.6"
,"Retail trade  [44-45]","1999","243.4"
,,"2000","266.6"
,,"2001","274.0"
,,"2002","285.3"
,,"2003","293.0"
,,"2004","295.3"
,,"2005","306.6"
,,"2006","325.8"
,,"2007","337.0"
,,"2008","340.5"
,,"2009","343.1"
,,"2010","359.9"
,,"2011","356.7"
,,"2012","365.1"
,,"2013","371.7"
,,"2014","373.4"
,,"2015","367.9"
,,"2016","382.7"
,,"2017","381.4"
,,"2018","388.8"
,,"2019","397.4"
,"Transportation and warehousing  [48-49]","1999","127.8"
,,"2000","126.0"
,,"2001","116.3"
,,"2002","128.1"
,,"2003","132.3"
,,"2004","133.6"
,,"2005","145.9"
,,"2006","146.6"
,,"2007","149.3"
,,"2008","144.9"
,,"2009","146.1"
,,"2010","144.3"
,,"2011","151.7"
,,"2012","153.7"
,,"2013","155.3"
,,"2014","164.6"
,,"2015","172.4"
,,"2016","179.9"
,,"2017","191.0"
,,"2018","195.9"
,,"2019","209.6"
,"Information and cultural industries  [51]","1999","130.6"
,,"2000","136.9"
,,"2001","139.6"
,,"2002","149.3"
,,"2003","152.6"
,,"2004","151.5"
,,"2005","164.2"
,,"2006","163.6"
,,"2007","159.2"
,,"2008","159.3"
,,"2009","151.6"
,,"2010","154.4"
,,"2011","154.7"
,,"2012","155.2"
,,"2013","155.5"
,,"2014","158.8"
,,"2015","166.2"
,,"2016","168.6"
,,"2017","168.8"
,,"2018","171.8"
,,"2019","178.8"
,"Finance and insurance  [52]","1999","223.1"
,,"2000","216.2"
,,"2001","210.3"
,,"2002","224.3"
,,"2003","228.7"
,,"2004","236.8"
,,"2005","256.4"
,,"2006","268.0"
,,"2007","267.1"
,,"2008","266.3"
,,"2009","261.9"
,,"2010","260.8"
,,"2011","262.8"
,,"2012","266.3"
,,"2013","273.3"
,,"2014","275.0"
,,"2015","280.5"
,,"2016","287.0"
,,"2017","305.2"
,,"2018","312.3"
,,"2019","325.9"
,"Real estate and rental and leasing  [53]","1999","469.3"
,,"2000","480.6"
,,"2001","478.8"
,,"2002","497.2"
,,"2003","511.7"
,,"2004","527.6"
,,"2005","548.8"
,,"2006","572.8"
,,"2007","571.3"
,,"2008","589.3"
,,"2009","608.9"
,,"2010","627.9"
,,"2011","646.8"
,,"2012","669.3"
,,"2013","679.6"
,,"2014","694.8"
,,"2015","708.8"
,,"2016","724.6"
,,"2017","746.8"
,,"2018","767.2"
,,"2019","797.3"
,"Professional, scientific and technical services  [54]","1999","123.0"
,,"2000","126.2"
,,"2001","115.5"
,,"2002","115.8"
,,"2003","122.4"
,,"2004","128.1"
,,"2005","131.5"
,,"2006","136.6"
,,"2007","137.0"
,,"2008","141.6"
,,"2009","133.2"
,,"2010","135.4"
,,"2011","136.9"
,,"2012","138.1"
,,"2013","140.6"
,,"2014","143.6"
,,"2015","152.3"
,,"2016","161.1"
,,"2017","169.9"
,,"2018","178.1"
,,"2019","182.6"
,"Management of companies and enterprises  [55]","1999","35.9"
,,"2000","30.7"
,,"2001","34.1"
,,"2002","36.2"
,,"2003","42.3"
,,"2004","43.9"
,,"2005","31.8"
,,"2006","33.9"
,,"2007","31.6"
,,"2008","36.0"
,,"2009","36.7"
,,"2010","38.1"
,,"2011","35.3"
,,"2012","35.2"
,,"2013","33.8"
,,"2014","31.2"
,,"2015","30.6"
,,"2016","24.8"
,,"2017","21.3"
,,"2018","18.2"
,,"2019","15.1"
,"Administrative and support, waste management and remediation services  [56]","1999","77.1"
,,"2000","81.3"
,,"2001","79.1"
,,"2002","93.4"
,,"2003","100.0"
,,"2004","112.1"
,,"2005","123.2"
,,"2006","142.1"
,,"2007","140.0"
,,"2008","143.5"
,,"2009","132.0"
,,"2010","156.9"
,,"2011","155.5"
,,"2012","163.1"
,,"2013","166.6"
,,"2014","166.8"
,,"2015","149.0"
,,"2016","126.7"
,,"2017","121.5"
,,"2018","124.3"
,,"2019","130.7"
,"Educational services  [61]","1999","281.3"
,,"2000","289.0"
,,"2001","286.5"
,,"2002","294.6"
,,"2003","311.7"
,,"2004","328.3"
,,"2005","338.6"
,,"2006","338.0"
,,"2007","337.7"
,,"2008","344.9"
,,"2009","358.2"
,,"2010","374.6"
,,"2011","388.4"
,,"2012","389.5"
,,"2013","389.9"
,,"2014","387.7"
,,"2015","390.5"
,,"2016","392.6"
,,"2017","402.5"
,,"2018","418.7"
,,"2019","435.2"
,"Health care and social assistance  [62]","1999","407.1"
,,"2000","426.9"
,,"2001","415.5"
,,"2002","435.5"
,,"2003","467.4"
,,"2004","486.7"
