"Gross domestic product, expenditure-based, provincial and territorial, annual (x 1,000,000)"
"Annual"
"Table: 36-10-0222-01 (formerly CANSIM 384-0038)"
"Geography: Canada, Province or territory"

"","","Chained (2012) dollars","Current prices"
,"2001","27,683","21,506"
,"2002","28,999","22,095"
,"2003","29,722","23,179"
,"2004","30,475","24,502"
,"2005","30,716","25,643"
,"2006","31,348","26,792"
,"2007","31,644","28,352"
,"2008","31,887","28,842"
,"2009","31,425","28,914"
,"2010","32,050","30,269"
,"2011","32,136","31,561"
,"2012","31,796","31,797"
,"2013","31,710","31,891"
,"2014","31,747","32,462"
,"2015","31,954","33,453"
,"2016","32,213","34,330"
,"2017","33,014","35,828"
,"2018","33,176","37,105"
,"2019","33,568","38,236"
"Quebec","1999","280,467","216,140"
,"2000","292,882","231,017"
,"2001","297,992","239,393"
,"2002","306,269","250,562"
,"2003","309,948","260,058"
,"2004","317,700","272,822"
,"2005","322,404","281,116"
,"2006","326,298","291,512"
,"2007","334,273","306,946"
,"2008","340,867","315,382"
,"2009","338,180","315,540"
,"2010","344,934","329,129"
,"2011","351,401","345,763"
,"2012","355,254","355,253"
,"2013","359,993","365,802"
,"2014","365,719","376,878"
,"2015","368,982","387,667"
,"2016","374,899","399,225"
,"2017","385,620","418,674"
,"2018","396,838","441,388"
,"2019","407,590","460,357"
"Ontario","1999","533,253","418,881"
,"2000","567,019","452,911"
,"2001","577,397","469,838"
,"2002","597,107","495,640"
,"2003","603,720","510,275"
,"2004","620,670","534,110"
,"2005","640,614","557,356"
,"2006","652,625","578,957"
,"2007","657,733","602,409"
,"2008","657,720","609,126"
,"2009","637,298","598,521"
,"2010","656,103","631,636"
,"2011","671,942","660,436"
,"2012","680,792","680,791"
,"2013","690,275","696,192"
,"2014","707,589","727,042"
,"2015","724,946","760,435"
,"2016","740,164","790,749"
,"2017","761,025","824,979"
,"2018","782,115","859,079"
,"2019","798,213","891,811"
"Manitoba","1999","43,990","32,833"
,"2000","45,856","34,957"
,"2001","46,346","36,138"
,"2002","47,142","37,646"
,"2003","47,766","38,580"
,"2004","48,948","41,078"
,"2005","50,322","43,140"
,"2006","52,166","46,683"
,"2007","53,501","49,779"
,"2008","55,454","52,207"
,"2009","55,370","50,853"
,"2010","56,727","53,359"
,"2011","58,087","56,252"
,"2012","59,846","59,848"
,"2013","61,583","62,386"
,"2014","62,853","64,305"
,"2015","63,628","65,943"
,"2016","64,549","67,298"
,"2017","66,670","71,285"
,"2018","67,670","73,086"
,"2019","68,060","73,814"
"Saskatchewan","1999","59,943","31,155"
,"2000","61,503","34,319"
,"2001","60,993","33,739"
,"2002","60,789","35,095"
,"2003","63,564","37,559"
,"2004","66,605","41,564"
,"2005","68,360","44,927"
,"2006","67,347","46,215"
,"2007","69,855","52,419"
,"2008","73,518","67,656"
,"2009","69,597","60,117"
,"2010","72,851","63,402"
,"2011","76,697","74,856"
,"2012","78,007","78,006"
,"2013","83,111","83,209"
,"2014","84,786","82,905"
,"2015","84,072","79,680"
,"2016","84,006","75,694"
,"2017","86,180","80,257"
,"2018","87,232","82,847"
,"2019","86,611","82,917"
"Alberta","1999","206,002","119,233"
,"2000","218,678","147,112"
,"2001","222,271","154,406"
,"2002","227,363","153,977"
,"2003","235,234","174,133"
,"2004","248,322","194,668"
,"2005","259,282","225,643"
,"2006","275,756","246,099"
,"2007","280,600","261,122"
,"2008","285,125","296,229"
,"2009","269,322","245,843"
,"2010","282,702","270,203"
,"2011","300,948","299,689"
,"2012","312,708","312,707"
,"2013","330,548","342,646"
,"2014","350,033","376,807"
,"2015","337,069","324,054"
,"2016","325,421","304,294"
,"2017","340,062","332,256"
,"2018","346,611","343,705"
,"2019","347,102","352,884"
"British Columbia","1999","159,162","125,658"
,"2000","166,405","136,411"
,"2001","167,541","138,815"
,"2002","174,214","143,993"
,"2003","178,240","151,958"
,"2004","185,250","164,600"
,"2005","194,460","177,197"
,"2006","203,053","190,479"
,"2007","209,419","200,440"
,"2008","210,903","206,427"
,"2009","205,878","198,179"
,"2010","211,749","206,990"
,"2011","218,203","218,771"
,"2012","223,329","223,328"
,"2013","228,310","230,981"
,"2014","236,696","243,872"
,"2015","241,509","250,784"
,"2016","248,262","263,912"
,"2017","257,724","282,283"
,"2018","264,765","296,135"
,"2019","271,789","309,059"
"Yukon","1999","1,537","1,146"
,"2000","1,589","1,262"
,"2001","1,662","1,338"
,"2002","1,643","1,318"
,"2003","1,625","1,360"
,"2004","1,707","1,465"
,"2005","1,744","1,573"
,"2006","1,826","1,701"
,"2007","1,919","1,815"
,"2008","2,113","2,044"
,"2009","2,253","2,137"
,"2010","2,343","2,314"
,"2011","2,460","2,495"
,"2012","2,558","2,558"
,"2013","2,595","2,654"
,"2014","2,614","2,744"
,"2015","2,409","2,636"
,"2016","2,588","2,789"
,"2017","2,634","2,883"
,"2018","2,734","3,056"
,"2019","2,757","3,157"
"Northwest Territories 2 (map)","1999","3,369","2,434"
,"2000","3,594","2,663"
,"2001","4,350","3,154"
,"2002","4,654","3,205"
,"2003","5,265","3,894"
,"2004","5,401","4,517"
,"2005","5,346","4,447"
,"2006","5,352","4,441"
,"2007","5,841","4,668"
,"2008","5,293","5,025"
,"2009","4,722","4,010"
,"2010","4,843","4,817"
,"2011","4,408","4,734"
,"2012","4,394","4,394"
,"2013","4,521","4,484"
,"2014","4,735","4,782"
,"2015","4,779","4,721"
,"2016","4,712","4,450"
,"2017","4,873","4,627"
,"2018","4,911","4,738"
,"2019","4,517","4,542"
"Nunavut 2 (map)","1999","1,255","812"
,"2000","1,310","893"
,"2001","1,392","934"
,"2002","1,423","1,021"
,"2003","1,423","1,028"
,"2004","1,487","1,120"
,"2005","1,481","1,163"
,"2006","1,497","1,242"
,"2007","1,620","1,319"
,"2008","1,851","1,567"
,"2009","1,721","1,538"
,"2010","2,039","1,915"
,"2011","2,150","2,036"
,"2012","2,199","2,200"
,"2013","2,410","2,295"
,"2014","2,379","2,383"
,"2015","2,372","2,421"
,"2016","2,492","2,582"
,"2017","2,821","3,031"
,"2018","2,968","3,353"
,"2019","3,161","3,689"
"Outside Canada","1999","817","485"
,"2000","818","509"
,"2001","821","552"
,"2002","839","585"
,"2003","811","601"
,"2004","786","601"
,"2005","758","611"
,"2006","758","637"
,"2007","736","648"
,"2008","743","689"
,"2009","755","720"
,"2010","788","752"
,"2011","781","744"
,"2012","739","739"
,"2013","709","726"
,"2014","695","720"
,"2015","667","696"
,"2016","671","718"
,"2017","698","746"
,"2018","741","808"
,"2019","731","790"

Symbol legend:

Footnotes:
1,Canada totals in the provincial and territorial gross domestic product by income and by expenditure accounts (PTEA) do not correspond to the national gross domestic product by income and by expenditure accounts (IEA) estimates at certain times of the year. The two accounts are brought back in line when annual revisions are incorporated.
2,"Prior to 1999, see Northwest Territories including Nunavut."

"How to cite: Statistics Canada. Table 36-10-0222-01 Gross domestic product, expenditure-based, provincial and territorial, annual (x 1,000,000)"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610022201
DOI: https://doi.org/10.25318/3610022201-eng
